epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27638,2.06066,8.63068,1.99224,0.38749,0.40265,0.35598,0.14404,2.17646,11.4454,2.12403,0.000685386,0.000685386,0.000685386
43,28200.8,2.07834,8.45432,1.99691,0.43316,0.4004,0.36224,0.1479,2.20042,10.7574,2.13392,0.000679932,0.000679932,0.000679932
44,28783.2,2.06069,8.37458,1.99386,0.41197,0.40136,0.37286,0.14993,2.21342,11.4931,2.12106,0.000674478,0.000674478,0.000674478
45,29381.7,2.06079,8.38746,1.97577,0.44342,0.37101,0.36591,0.14233,2.20832,10.0846,2.125,0.000669024,0.000669024,0.000669024
46,29845.5,2.05976,8.35605,1.98719,0.46785,0.43019,0.38577,0.1586,2.20475,12.7896,2.11549,0.00066357,0.00066357,0.00066357
47,30310,2.05852,8.38766,1.97117,0.40125,0.39004,0.37596,0.1476,2.23397,12.577,2.14207,0.000658116,0.000658116,0.000658116
48,33334.3,2.06004,8.43768,1.98025,0.41799,0.39523,0.38252,0.15887,2.17667,9.94634,2.11542,0.000652662,0.000652662,0.000652662
49,33572.5,2.06246,8.40249,1.97849,0.4085,0.37973,0.35546,0.14232,2.18919,9.67404,2.12102,0.000647208,0.000647208,0.000647208
50,33919.6,2.05576,8.20368,1.97196,0.44337,0.38374,0.38554,0.15874,2.21885,10.0512,2.12159,0.000641754,0.000641754,0.000641754
51,34354,2.04789,8.23119,1.9696,0.4039,0.40705,0.37704,0.15516,2.2099,12.2357,2.11702,0.0006363,0.0006363,0.0006363
52,34810,2.03399,8.18023,1.96588,0.4293,0.42624,0.39347,0.15404,2.21929,10.4932,2.12246,0.000630846,0.000630846,0.000630846
53,44158.1,2.03469,8.05087,1.95418,0.43852,0.41504,0.36644,0.14518,2.20006,11.6438,2.1276,0.000625392,0.000625392,0.000625392
54,44336.5,2.0424,8.1089,1.964,0.46861,0.37857,0.3816,0.15096,2.2262,8.95738,2.14236,0.000619938,0.000619938,0.000619938
55,44679.8,2.03446,7.93774,1.95514,0.51613,0.41203,0.39859,0.15453,2.20169,12.1664,2.11633,0.000614484,0.000614484,0.000614484
56,45079.5,2.04632,8.03172,1.96702,0.49738,0.40799,0.41014,0.15957,2.20142,10.7062,2.1289,0.00060903,0.00060903,0.00060903
57,46883.8,2.0267,7.89566,1.97013,0.45102,0.4086,0.38066,0.15608,2.1873,9.46713,2.14379,0.000603576,0.000603576,0.000603576
58,47061.4,2.02161,7.94984,1.95299,0.6217,0.37325,0.36919,0.14348,2.23753,8.58249,2.14845,0.000598122,0.000598122,0.000598122
59,47380.9,2.03913,7.911,1.96886,0.43863,0.42696,0.39842,0.15404,2.23022,11.9628,2.15927,0.000592668,0.000592668,0.000592668
60,47791.2,2.02742,7.73616,1.94572,0.4932,0.38845,0.38761,0.15389,2.24566,10.8377,2.1554,0.000587214,0.000587214,0.000587214
61,52360.7,2.02714,7.71194,1.95019,0.45194,0.40803,0.38618,0.15527,2.21878,10.5815,2.12117,0.00058176,0.00058176,0.00058176
62,52500.8,1.99635,7.59313,1.9216,0.49222,0.38333,0.39131,0.15228,2.23284,10.8567,2.13987,0.000576306,0.000576306,0.000576306
63,52783.8,2.02491,7.59897,1.95089,0.48166,0.38674,0.37577,0.14901,2.22333,9.9609,2.1316,0.000570852,0.000570852,0.000570852
64,53143.6,2.01835,7.61869,1.92479,0.4664,0.41659,0.40443,0.16142,2.23682,11.0755,2.13704,0.000565398,0.000565398,0.000565398
