epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18139.4,3.99037,4.66778,3.84904,0.34092,0.39224,0.3204,0.12999,4.27782,5.50051,4.15498,0.000663025,0.000663025,0.000663025
43,18361.5,4.05158,4.59785,3.8517,0.36228,0.4043,0.34921,0.13729,4.30999,5.00159,4.14403,0.000657025,0.000657025,0.000657025
44,18635.4,4.01187,4.58348,3.85464,0.39671,0.36577,0.34528,0.14198,4.28027,4.51421,4.08361,0.000651026,0.000651026,0.000651026
45,19446.9,4.00304,4.5273,3.79891,0.44338,0.34164,0.35045,0.14244,4.28207,4.76091,4.13408,0.000645026,0.000645026,0.000645026
46,19670.2,3.99546,4.54944,3.8409,0.41784,0.38022,0.36455,0.14861,4.25303,4.57549,4.08302,0.000639027,0.000639027,0.000639027
47,19891.7,3.98333,4.55982,3.80655,0.34501,0.40278,0.32915,0.13097,4.30111,5.1757,4.13653,0.000633028,0.000633028,0.000633028
48,20113.1,4.0091,4.57699,3.82996,0.38119,0.401,0.35999,0.143,4.28483,5.08398,4.10963,0.000627028,0.000627028,0.000627028
49,20334.8,3.9993,4.57959,3.82054,0.43135,0.37728,0.36565,0.14548,4.32996,4.604,4.15621,0.000621029,0.000621029,0.000621029
50,20722.7,3.97746,4.49397,3.81236,0.56947,0.35355,0.35724,0.14247,4.34471,4.63634,4.14029,0.000615029,0.000615029,0.000615029
51,21414.2,3.97421,4.47199,3.82243,0.43987,0.37246,0.35153,0.13823,4.35633,5.11779,4.19031,0.00060903,0.00060903,0.00060903
52,21636.2,3.94295,4.46528,3.80604,0.4338,0.38584,0.36449,0.14788,4.30067,4.86631,4.16227,0.000603031,0.000603031,0.000603031
53,21857.5,3.95556,4.40507,3.80606,0.41395,0.39255,0.36306,0.14785,4.30469,5.75342,4.16771,0.000597031,0.000597031,0.000597031
54,22079.1,3.97864,4.43285,3.80358,0.42406,0.39115,0.35406,0.14679,4.35257,4.51075,4.18693,0.000591032,0.000591032,0.000591032
55,22301,3.97436,4.37891,3.78712,0.39876,0.39188,0.36307,0.1426,4.27485,5.28767,4.1144,0.000585032,0.000585032,0.000585032
56,22522.3,3.95793,4.41643,3.78878,0.4277,0.39895,0.35792,0.13967,4.28657,5.18743,4.13808,0.000579033,0.000579033,0.000579033
57,22744.3,3.93159,4.36014,3.79494,0.34594,0.40458,0.35279,0.14617,4.27984,4.96827,4.12964,0.000573034,0.000573034,0.000573034
58,22965.7,3.94072,4.37983,3.79795,0.38921,0.42409,0.34966,0.1386,4.35587,4.62262,4.2005,0.000567034,0.000567034,0.000567034
59,23187.4,3.95718,4.38622,3.8081,0.39617,0.36426,0.33922,0.13882,4.3234,6.36143,4.16979,0.000561035,0.000561035,0.000561035
60,23409,3.93715,4.30419,3.76094,0.41917,0.38698,0.36049,0.15421,4.3701,4.70057,4.16988,0.000555035,0.000555035,0.000555035
61,23630.8,3.95316,4.31937,3.80451,0.46315,0.37918,0.36921,0.1532,4.32484,4.66054,4.18204,0.000549036,0.000549036,0.000549036
62,23852.8,3.88938,4.20685,3.75466,0.38721,0.4323,0.35988,0.14941,4.35069,4.90558,4.18641,0.000543037,0.000543037,0.000543037
63,24074.5,3.91483,4.18648,3.77014,0.45754,0.38102,0.37539,0.15189,4.3616,4.53732,4.17752,0.000537037,0.000537037,0.000537037
64,24295.8,3.91226,4.23642,3.72899,0.44304,0.39616,0.38316,0.15677,4.33907,4.91924,4.16093,0.000531038,0.000531038,0.000531038
65,24517.4,3.90559,4.25016,3.75224,0.41416,0.40643,0.37968,0.15426,4.35067,4.82028,4.19613,0.000525038,0.000525038,0.000525038
66,24738.6,3.91758,4.17561,3.74149,0.4254,0.41426,0.36228,0.15016,4.36798,4.78606,4.20543,0.000519039,0.000519039,0.000519039
67,24959.9,3.90264,4.22562,3.74176,0.43096,0.41172,0.39433,0.16447,4.2889,4.75966,4.14565,0.00051304,0.00051304,0.00051304
68,25181.5,3.9109,4.18657,3.75845,0.40284,0.42471,0.37649,0.1577,4.33223,4.68403,4.18113,0.00050704,0.00050704,0.00050704
69,25402.7,3.87268,4.09171,3.73246,0.40929,0.43169,0.38403,0.16192,4.35182,5.78757,4.19568,0.000501041,0.000501041,0.000501041
70,25624.1,3.85883,4.13558,3.7144,0.40258,0.40615,0.36597,0.14823,4.41508,4.60523,4.24963,0.000495041,0.000495041,0.000495041
71,25845.8,3.83974,4.19332,3.72926,0.42912,0.41057,0.37619,0.15615,4.35913,4.53033,4.2116,0.000489042,0.000489042,0.000489042
72,26067.5,3.87022,4.15775,3.72816,0.48712,0.38902,0.39615,0.16944,4.3839,5.36298,4.24098,0.000483043,0.000483043,0.000483043
73,26288.9,3.83855,4.12001,3.72398,0.39698,0.40828,0.36445,0.14884,4.38573,4.66637,4.23498,0.000477043,0.000477043,0.000477043
74,26532.1,3.87044,4.08704,3.72647,0.44196,0.35184,0.36563,0.14351,4.36522,4.57499,4.21609,0.000471044,0.000471044,0.000471044
75,27305.5,3.82229,3.9917,3.70496,0.46554,0.38724,0.36178,0.14456,4.39802,4.66461,4.25503,0.000465044,0.000465044,0.000465044
76,27527,3.8568,4.11815,3.71763,0.41811,0.40514,0.37126,0.15529,4.4003,4.45698,4.21507,0.000459045,0.000459045,0.000459045
77,27748.8,3.86576,4.10267,3.70183,0.41534,0.39433,0.36813,0.15348,4.4007,4.81872,4.24043,0.000453046,0.000453046,0.000453046
78,27970.6,3.81223,3.98028,3.68359,0.41169,0.41427,0.37542,0.15528,4.46517,4.66695,4.28278,0.000447046,0.000447046,0.000447046
79,28191.8,3.81226,3.95214,3.69685,0.45705,0.39897,0.38932,0.16435,4.42405,4.80859,4.24635,0.000441047,0.000441047,0.000441047
80,28412.9,3.81041,3.96511,3.6752,0.41544,0.44171,0.38249,0.16253,4.40047,4.50864,4.24397,0.000435047,0.000435047,0.000435047
81,28634.7,3.78976,3.86513,3.67304,0.42496,0.43024,0.38212,0.16476,4.39805,4.88328,4.22911,0.000429048,0.000429048,0.000429048
82,28857.7,3.80111,3.92296,3.65478,0.42814,0.40125,0.36117,0.14834,4.35047,4.9103,4.16872,0.000423049,0.000423049,0.000423049
83,29078.8,3.77554,3.87057,3.67217,0.44127,0.4079,0.37932,0.15996,4.37129,4.70112,4.23249,0.000417049,0.000417049,0.000417049
84,29300.8,3.78994,3.89225,3.65656,0.46959,0.42105,0.38086,0.1569,4.39749,4.72527,4.24723,0.00041105,0.00041105,0.00041105
85,29522.6,3.78845,3.89986,3.67698,0.38721,0.41371,0.37049,0.15552,4.38092,4.63123,4.24557,0.00040505,0.00040505,0.00040505
86,29744.8,3.76896,3.84508,3.62999,0.43137,0.40611,0.38719,0.16274,4.42441,4.73131,4.25603,0.000399051,0.000399051,0.000399051
87,29967.4,3.77131,3.91911,3.6655,0.39404,0.43111,0.37157,0.15077,4.44818,4.48671,4.29218,0.000393052,0.000393052,0.000393052
88,30189.6,3.75474,3.75539,3.62993,0.42377,0.43949,0.37998,0.15503,4.42836,4.52474,4.26138,0.000387052,0.000387052,0.000387052
89,30412,3.77065,3.81039,3.6488,0.40032,0.43316,0.38375,0.15228,4.47658,4.57465,4.28566,0.000381053,0.000381053,0.000381053
90,30635,3.77305,3.78812,3.61996,0.48633,0.42574,0.40496,0.16986,4.45028,4.66966,4.27933,0.000375053,0.000375053,0.000375053
91,30856.7,3.75669,3.7811,3.59946,0.45127,0.3674,0.37676,0.16026,4.45789,4.90801,4.28878,0.000369054,0.000369054,0.000369054
92,31078.3,3.71819,3.72509,3.61961,0.50488,0.36058,0.39067,0.15955,4.43395,4.70649,4.2614,0.000363055,0.000363055,0.000363055
93,31300.7,3.73506,3.74989,3.60015,0.4214,0.45089,0.38047,0.15068,4.45703,4.64987,4.28532,0.000357055,0.000357055,0.000357055
94,31523.4,3.73993,3.75515,3.59943,0.42852,0.41065,0.37978,0.15463,4.46806,4.76419,4.28587,0.000351056,0.000351056,0.000351056
95,31746.4,3.71131,3.72944,3.62296,0.42081,0.43056,0.38118,0.15518,4.44235,4.75829,4.31709,0.000345056,0.000345056,0.000345056
96,33201.8,3.6889,3.7193,3.60537,0.46726,0.43888,0.39095,0.15875,4.4182,4.55582,4.28316,0.000339057,0.000339057,0.000339057
97,33422.9,3.69749,3.63732,3.58727,0.451,0.4476,0.40378,0.16357,4.48399,4.36039,4.33255,0.000333058,0.000333058,0.000333058
98,33644.3,3.68916,3.63962,3.58698,0.44712,0.42559,0.38161,0.15826,4.48334,4.61324,4.3144,0.000327058,0.000327058,0.000327058
99,33865.5,3.70558,3.61505,3.59008,0.45476,0.43111,0.38882,0.16089,4.52078,4.38993,4.35308,0.000321059,0.000321059,0.000321059
100,34086.9,3.68684,3.61037,3.58787,0.45116,0.40865,0.4009,0.17112,4.48468,4.79315,4.33387,0.000315059,0.000315059,0.000315059
101,34308.7,3.65749,3.5699,3.54524,0.47938,0.41965,0.40059,0.16486,4.51111,4.53898,4.39132,0.00030906,0.00030906,0.00030906
102,34530.9,3.66967,3.60598,3.5687,0.47556,0.38981,0.40121,0.16492,4.51876,4.79224,4.39931,0.000303061,0.000303061,0.000303061
103,34753.3,3.684,3.55117,3.58394,0.5334,0.37765,0.41264,0.1764,4.52786,4.60747,4.36444,0.000297061,0.000297061,0.000297061
104,34982.3,3.66157,3.5496,3.55598,0.45724,0.40904,0.39005,0.15946,4.52893,4.68821,4.39191,0.000291062,0.000291062,0.000291062
105,35204.3,3.62868,3.50153,3.55107,0.4727,0.42091,0.41992,0.17832,4.53268,5.03822,4.41839,0.000285062,0.000285062,0.000285062
106,35426.1,3.63993,3.47678,3.53379,0.50485,0.41636,0.41515,0.17403,4.52661,4.4892,4.42045,0.000279063,0.000279063,0.000279063
107,35647.4,3.64821,3.54915,3.54032,0.43764,0.46087,0.40365,0.16938,4.50448,4.66426,4.38754,0.000273064,0.000273064,0.000273064
108,35868.5,3.60508,3.42185,3.51726,0.43245,0.45434,0.40842,0.17097,4.51836,4.77879,4.40023,0.000267064,0.000267064,0.000267064
109,36089.7,3.5759,3.3957,3.49562,0.45744,0.4292,0.39853,0.16269,4.52671,4.92216,4.39519,0.000261065,0.000261065,0.000261065
110,36312.2,3.62996,3.53195,3.52,0.4305,0.46129,0.39695,0.16395,4.53215,4.93495,4.40541,0.000255065,0.000255065,0.000255065
111,36534.5,3.59863,3.3558,3.50387,0.44032,0.44327,0.39456,0.16243,4.52997,4.82386,4.41467,0.000249066,0.000249066,0.000249066
112,36756.5,3.61371,3.45606,3.53059,0.46501,0.42329,0.40447,0.16984,4.51725,5.15746,4.41535,0.000243067,0.000243067,0.000243067
113,36978.8,3.57369,3.41969,3.48816,0.4455,0.40669,0.38658,0.16749,4.54697,4.75695,4.39608,0.000237067,0.000237067,0.000237067
114,37206.2,3.56659,3.26662,3.44376,0.41354,0.45043,0.39207,0.16512,4.57089,4.70862,4.41095,0.000231068,0.000231068,0.000231068
115,40180.3,3.57823,3.39734,3.4655,0.41806,0.4695,0.39196,0.16334,4.55733,4.78195,4.4058,0.000225068,0.000225068,0.000225068
116,40401.7,3.54918,3.27956,3.45547,0.46536,0.41875,0.3885,0.15912,4.60494,4.67636,4.4707,0.000219069,0.000219069,0.000219069
117,40624.1,3.54823,3.31827,3.4397,0.47497,0.39901,0.38772,0.16753,4.59466,4.79701,4.44465,0.00021307,0.00021307,0.00021307
118,40846,3.51679,3.29124,3.44288,0.43659,0.44181,0.39921,0.16347,4.58575,4.6866,4.47447,0.00020707,0.00020707,0.00020707
119,41069.4,3.51895,3.234,3.43415,0.46136,0.43019,0.4169,0.1734,4.62617,4.60974,4.50259,0.000201071,0.000201071,0.000201071
120,41291.5,3.50849,3.18476,3.41931,0.39631,0.45264,0.38588,0.15974,4.60721,4.71399,4.4683,0.000195071,0.000195071,0.000195071
121,41513.1,3.50085,3.20351,3.41369,0.44387,0.41135,0.37011,0.15794,4.62107,4.81022,4.48524,0.000189072,0.000189072,0.000189072
122,41735.1,3.50755,3.21528,3.4317,0.44725,0.41276,0.39289,0.16327,4.54904,4.82152,4.45364,0.000183073,0.000183073,0.000183073
123,41957.4,3.52443,3.2261,3.42945,0.42173,0.43533,0.40046,0.16758,4.58114,4.74562,4.45992,0.000177073,0.000177073,0.000177073
124,42180.3,3.50164,3.19694,3.43571,0.4741,0.39733,0.38441,0.16132,4.56983,4.70391,4.48697,0.000171074,0.000171074,0.000171074
125,42403.1,3.48176,3.13693,3.43093,0.42846,0.42898,0.39297,0.16434,4.61739,4.62898,4.51783,0.000165074,0.000165074,0.000165074
126,45468.3,3.5005,3.23869,3.42293,0.42653,0.42019,0.37774,0.1606,4.58078,4.62628,4.50286,0.000159075,0.000159075,0.000159075
127,45689.4,3.49439,3.15716,3.41386,0.45172,0.3994,0.38336,0.1596,4.67299,4.80305,4.56195,0.000153076,0.000153076,0.000153076
128,45910.9,3.45901,3.16183,3.42313,0.42537,0.40519,0.38423,0.15761,4.6487,4.64985,4.57557,0.000147076,0.000147076,0.000147076
129,46133.6,3.46886,3.15479,3.40149,0.42615,0.43005,0.39058,0.16333,4.65838,4.61396,4.55469,0.000141077,0.000141077,0.000141077
130,46357,3.45429,3.11485,3.39161,0.42127,0.42155,0.39418,0.16837,4.64131,4.73205,4.54501,0.000135077,0.000135077,0.000135077
131,46580.4,3.4457,3.09701,3.36209,0.41954,0.39803,0.38409,0.15723,4.66623,4.7115,4.55885,0.000129078,0.000129078,0.000129078
132,46802.1,3.47169,3.08674,3.39223,0.46085,0.39499,0.40142,0.16957,4.66572,4.80679,4.57556,0.000123079,0.000123079,0.000123079
133,47024,3.41336,2.97825,3.33924,0.42687,0.41947,0.39436,0.16485,4.67904,4.95363,4.58202,0.000117079,0.000117079,0.000117079
134,47246.4,3.47865,3.14413,3.39726,0.44745,0.40864,0.40301,0.16999,4.64487,4.7496,4.55799,0.00011108,0.00011108,0.00011108
135,47468,3.42764,3.01353,3.3557,0.48079,0.39161,0.40555,0.17399,4.67067,4.7211,4.58808,0.00010508,0.00010508,0.00010508
